===============================
At3ayDbV
1514089026.6,1514089120.68,94.0880491734
1514088762.36,1514088847.42,85.0565378666
1514089005.57,1514089099.66,94.0878047943
1514089047.62,1514089141.7,94.0839438438
1514088900.48,1514088994.56,94.0833721161
1514088774.37,1514088868.44,94.065568924
1514088921.5,1514089015.58,94.0861389637
1514088795.39,1514088889.46,94.0707571507
1514088942.51,1514089036.61,94.0958991051
1514088740.34,1514088763.36,23.0253801346
1514088858.44,1514088952.52,94.0831189156
1514088963.53,1514089057.63,94.1023731232
1514088837.42,1514088931.51,94.0878689289
1514088740.34,1514088784.38,44.0430438519
1514088984.55,1514089078.65,94.0962891579
1514088740.34,1514088805.39,65.0519249439
1514089068.64,1514089152.71,84.0703830719
1514088816.41,1514088910.49,94.0796618462
1514088879.45,1514088973.54,94.0829808712
1514088751.35,1514088826.41,75.0562200546
---------------------
